Title;Genre;Languages;Series or Movie;Country Availability;Runtime;Director;Actors;View Rating;Rotten Tomatoes Score;Metacritic Score;Awards Received;Awards Nominated For;Boxoffice;Release Date;Netflix Release Date;IMDb Votes;IMDb Score
Red;Action, Comedy, Crime, Thriller;English, Russian;Movie;Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Israel,Australia,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,United States,Russia,Argentina;> 2 hrs;Robert Schwentke;Bruce Willis, Jefferson Brown, Mary-Louise Parker, Heidi von Palleske;PG-13;72;60;4;19;$90,380,162;15-oct-10;23/2/2021;290548;7
Made You Look: A True Story About Fake Art;Documentary;English;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Israel,Switzerland,Australia,United Kingdom,Malaysia,India,Hong Kong,Japan,South Korea,Russia,Iceland,Mexico,Argentina,Brazil,Colombia,United States;1-2 hour;Barry Avrich;Jack Flam, Jos� Carlos Berganti�os Daz, Patty Cohen, Domenico De Sole;;;;;;;23-feb-21;23/2/2021;214;7
Il signor Diavolo;Horror, Mystery, Thriller;Italian;Movie;Italy;1-2 hour;Pupi Avati;Gabriel Lo Giudice, Cesare Cremonini, Filippo Franchini, Massimo Bonetti;;;;1;3;;22 Aug 2019;22/2/2021;1002;6
Chihayafuru;Animation, Comedy, Drama;Japanese;Series;South Korea;< 30 minutes;;Asami Seto, Ai Kayano, Mamoru Miyano, Tru Nara;TV-14;;;;1;;5-oct-11;21/2/2021;965;8.2
Classmates Minus;Comedy, Drama;;Movie;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia;> 2 hrs;Hsin-yao Huang;Na-Dou Lin, Ming-Shuai Shih, Jen-Shuo Cheng, Kuan-Ting Liu;;;;3;7;;20-feb-21;21/2/2021;494;7.4
Oh My JUMP!;Drama;Japanese;Series;Japan;< 30 minutes;;Rina Ikoma, Toru Baba, Atsushi It, Kend Kobayashi;;;;;;;13 Jan 2018;20/2/2021;5;8.4
The Mole Agent;Documentary;Spanish;Movie;Mexico,Argentina,Colombia;1-2 hour;Maite Alberdi;Romulo Aitken, Sergio Chamy, Zoila Gonzalez, Petronila Abarca;Not Rated;;69;4;17;;1-sep-20;20/2/2021;839;7.6
The Loop;Comedy;English;Movie;Poland;1-2 hour;;Eric Christian Olsen, Philip Baker Hall, Mimi Rogers, Bret Harrison;;;;;1;;;20/2/2021;1881;7.3
I Care a Lot;Comedy, Crime, Thriller;English;Movie;Poland,France,Greece,Czech Republic,Portugal,Mexico,Hungary,Slovakia,South Africa,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Brazil,Malaysia,India,Colombia,Hong Kong,United States;1-2 hour;J Blakeson;Eiza Gonz�lez, Peter Dinklage, Dianne Wiest, Rosamund Pike;R;;67;;;;19-feb-21;20/2/2021;201;6.6
No Escape Room;Horror, Mystery, Thriller;English;Movie;United States;1-2 hour;Alex Merkin;Kathryn Davis, Hamza Haq, Mark Ghanim�, Jeni Ross;Unrated;33;;;;;6-oct-18;19/2/2021;2840;5.2
Legacy of Lies;Action, Thriller;English, Ukrainian, Russian;Movie;United Kingdom;1-2 hour;Adrian Bol;Honor Kneafsey, Anna Butkevich, Yuliia Sobol, Scott Adkins;R;;;9;8;;28-jul-20;19/2/2021;1912;5
2067;Sci-Fi;English;Movie;Australia;1-2 hour;Seth Larney;Finn Little, Ryan Kwanten, Aaron Glenane, Kodi Smit-McPhee;Not Rated;;39;;;;2-oct-20;19/2/2021;4450;4.8
Ronny & Klaid;Comedy, Musical;German;Movie;Germany,Switzerland;1-2 hour;Reinhold Sch�nzel;Willy Fritsch, Hans Wassmann, Kthe von Nagy, Otto Wallburg;;;;;;;13 Apr 1932;19/2/2021;5;5.6
Burden;Drama;English;Movie;Netherlands;1-2 hour;Andrew Heckler;Garrett Hedlund, Tom Wilkinson, Andrea Riseborough, Forest Whitaker;R;97;57;2;1;$ 139,27;9-jun-20;19/2/2021;1814;6.6
Collective;Documentary;Romanian, English;Movie;Canada;1-2 hour;Alexander Nanau;Razvan Lutac, Tedy Ursuleanu, Catalin Tolontan, Mirela Neag;Not Rated;;95;25;42;;20-nov-20;19/2/2021;3300;8.4
Love;Drama, Romance;English, French;Movie;Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Argentina,Israel,Australia,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,United States,Russia;1-2 hour;Gaspar No�;Klara Kristin, Ugo Fox, Karl Glusman, Aomi Muyock;TV-MA;40;51;2;1;$ 249,08;30-oct-15;19/2/2021;48843;6.1
Sisyphus;Animation, Short;None;Series;Iceland,Canada,South Africa,Thailand,Singapore,United Kingdom,Australia,Malaysia,India,Hong Kong,Japan,South Korea,United States;< 30 minutes;Marcell Jankovics;;;;;;2;;1-oct-74;18/2/2021;695;6.9
Eeb Allay Ooo!;Comedy, Drama;Hindi;Movie;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Argentina,Israel,Switzerland,United Kingdom,Australia,Malaysia,Brazil,Colombia,India,Hong Kong,Japan,United States,Russia;1-2 hour;Prateek Vats;Nutan Sinha, Shardul Bharadwaj, Shashi Bhushan, Mahender Nath;;;;4;3;;18 Dec 2020;18/2/2021;784;7.4
Behind Her Eyes;Short, Drama;English;Series;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Argentina,Israel,Switzerland,United Kingdom,Australia,Malaysia,Brazil,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia;< 30 minutes;Mark Newton;Victoria Clare, John Curley, Dylan Neumeyer, Katherine Geren;TV-14;;;;;;15-may-18;18/2/2021;8;6.2
The Manson Family Massacre;Crime, Horror, Thriller;English;Movie;South Korea;1-2 hour;Andrew Jones;Vicki Glover, Ciaron Davies, Brendee Green, Michael David;Not Rated;;;;;;06 Aug 2019;17/2/2021;273;3
Return of the King Huang Feihong;Action;Chinese;Movie;South Korea;1-2 hour;Guo Yulong;Chen Lin, Yin Danni, Jingchuan Xu;;;;;;;13-nov-17;17/2/2021;5;4.2
Ten Years Japan;Drama;Japanese;Movie;South Korea;1-2 hour;Akiyo Fujimura, Chie Hayakawa, Kei Ishikawa, Yusuke Kinoshita, Megumi Tsuno;Jun Kunimura, Taiga Nakano, Chizuru Ikewaki, Hana Sugisaki;;100;;;;;3-nov-18;17/2/2021;102;5.6
Love at Second Sight;Comedy, Drama, Fantasy, Romance;French, English;Movie;South Korea;1-2 hour;Hugo G�lin;Benjamin Lavernhe, Fran�ois Civil, Jos�phine Japy, Camille Lellouche;;;;;1;;03 Apr 2019;17/2/2021;3527;7
Liberation;Drama, History, Romance, War;Russian, German, Italian, Polish, English, French;Movie;South Korea;1-2 hour;Yuriy Ozerov;Mikhail Nozhkin, Mikhail Ulyanov, Larisa Golubkina, Nikolay Olyalin;;;;1;;;1-nov-71;17/2/2021;525;7.8
The King is Invincible;Action;Chinese;Movie;South Korea;1-2 hour;Xinyu Qiu, Kaiyi Liu;Qianlong Yang, Yaoyao Ma, Jiangtao Xue, Xingyi Wang;;;;;;;28-jul-19;17/2/2021;9;5.7
Amanda;Drama;French, English;Movie;South Korea;1-2 hour;Mikha�l Hers;Stacy Martin, Oph�lia Kolb, Vincent Lacoste, Isaure Multrier;G;;63;4;7;;21-nov-18;17/2/2021;2012;7
Corpus Christi;Drama;Polish;Movie;South Korea;1-2 hour;Jan Komasa;Bartosz Bielenia, Tomasz Zietek, Eliza Rycembel, Aleksandra Konieczna;;;77;54;33;$ 127,24;28-feb-20;17/2/2021;13208;7.7
The Shadow;Action, Adventure, Crime, Fantasy, Mystery, Thriller;English;Movie;Brazil;1-2 hour;Russell Mulcahy;Alec Baldwin, Peter Boyle, Penelope Ann Miller, John Lone;PG-13;35;50;;4;$32,063,435;1-jul-94;17/2/2021;23422;6.1
Artysci;Drama;Polish;Series;Poland;< 30 minutes;;Michal Majnicz, Marcin Czarnik, Klara Bielawka, Adam Cywka;;;;;1;;2-sep-16;17/2/2021;113;7.9
Overcoming;Documentary, Sport;Danish, English, Italian, Spanish;Movie;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Belgium,Portugal,Hungary,Netherlands,Germany,Switzerland,United Kingdom,Czech Republic;1-2 hour;T�mas Gislason;B.S. Christiansen, Ole Kaare F�li, Michelle Bartoli, Ivan Basso;;88;;;;;28 Apr 2006;17/2/2021;353;6.9
Se min kjole;Drama;Danish;Movie;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom;1-2 hour;Hella Joof;Julie Grundtvig Wester, Honey Shain, Stephanie Leon, Malou Reymann;;;;;12;;3-jul-09;17/2/2021;493;6.2
Aftermath;Drama, Thriller;English, Thai;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland;1-2 hour;Elliott Lester;Arnold Schwarzenegger, Judah Nelson, Maggie Grace, Scoot McNairy;R;42;44;;;;07 Apr 2017;17/2/2021;22226;5.7
Awara Paagal Deewana;Action, Comedy, Crime, Drama, Thriller;Hindi;Movie;Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Argentina,Israel,Australia,Brazil,Malaysia,Colombia,Hong Kong,Japan,United States,Russia,India;> 2 hrs;Vikram Bhatt;Akshay Kumar, Paresh Rawal, Aftab Shivdasani, Sunil Shetty;Not Rated;54;;6;1;;21-jun-02;16/2/2021;7549;6.2
Unhinged;Action, Thriller;English;Movie;Canada;1-2 hour;Derrick Borte;Caren Pistorius, Jimmi Simpson, Russell Crowe, Gabriel Bateman;R;;40;;1;$20,831,465;21 Aug 2020;16/2/2021;34208;6.1
John Lewis: Good Trouble;Documentary;English;Movie;Canada;1-2 hour;Dawn Porter;Ayanna Pressley, Anthony Johnson, Hillary Clinton, Elijah Cummings;PG;;70;3;8;;3-jul-20;16/2/2021;539;7.1
Repo Man;Action, Comedy, Crime, Sci-Fi, Thriller;English, Spanish;Movie;Lithuania,Poland,Czech Republic,Hungary,Slovakia,Romania;1-2 hour;Alex Cox;Olivia Barash, Tracey Walter, Harry Dean Stanton, Emilio Estevez;R;98;82;2;3;$ 129,00;2-mar-84;16/2/2021;33965;6.9
For Love of the Game;Drama, Romance, Sport;English;Movie;Lithuania,Poland,Czech Republic,Hungary,Slovakia,Romania,Mexico,Argentina,Colombia;> 2 hrs;Sam Raimi;Kelly Preston, Kevin Costner, John C. Reilly, Jena Malone;PG-13;46;43;;7;$35,188,640;17-sep-99;16/2/2021;31879;6.6
The Crew;Comedy, Crime;English, Spanish;Series;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Canada,Portugal,Mexico,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,Colombia,Hong Kong,Japan,South Korea,United States,Russia,India;< 30 minutes;Michael Dinner;Burt Reynolds, Seymour Cassel, Dan Hedaya, Richard Dreyfuss;PG-13;20;37;1;;$13,023,075;25 Aug 2000;16/2/2021;4473;5.7
Sweethearts;Comedy, Drama;English;Movie;Germany,Switzerland;1-2 hour;Aleks Horvat;Janeane Garofalo, Mitch Rouse, Bobcat Goldthwait, Margaret Cho;R;;;1;;;10-oct-97;15/2/2021;617;6.3
The Queen of Sin;Drama, Mystery, Thriller;English;Movie;Germany,Switzerland;1-2 hour;Jean-Fran�ois Rivard;Inga Cadranel, Richard de Klerk, Christa B. Allen, Amber Goldfarb;;;;;2;;5-may-18;15/2/2021;386;4.2
Uppercut;Action, Comedy, Sport;Italian;Movie;Germany,Switzerland;1-2 hour;Michele Lupo;Raimund Harmstorf, Nando Paone, Bud Spencer, Ottaviano Dell Acqua;;;;2;;;5-oct-78;15/2/2021;4999;6.8
The Replacement Killers;Action, Crime, Thriller;English, Cantonese;Movie;South Africa;1-2 hour;Antoine Fuqua;Mira Sorvino, Michael Rooker, Kenneth Tsang, Yun-Fat Chow;R;36;42;;1;$19,204,929;6-feb-98;15/2/2021;26994;6.2
Then Came You;Adventure, Comedy, Drama;;Movie;Canada;1-2 hour;Peter Hutchings;Nina Dobrev, Maisie Williams, Asa Butterfield, Ken Jeong;;59;44;;;;1-feb-19;15/2/2021;9592;7
Story of Women;Drama, Romance;French;Movie;France;1-2 hour;Claude Chabrol;Marie Trintignant, Fran�ois Cluzet, Nils Tavernier, Isabelle Huppert;;82;;13;7;$ 438,48;1-feb-90;15/2/2021;3928;7.5
The Flower of Evil;Drama;French;Movie;France;1-2 hour;Claude Chabrol;Nathalie Baye, Suzanne Flon, Beno�t Magimel, Bernard Le Coq;R;64;67;;2;$ 182,16;19-feb-03;15/2/2021;2966;6.5
The Swindle;Comedy, Crime, Thriller;French, Hungarian, Italian, Swiss German, Latin;Movie;France;1-2 hour;Claude Chabrol;Michel Serrault, Fran�ois Cluzet, Jean-Fran�ois Balmer, Isabelle Huppert;Not Rated;69;;3;1;$ 250,90;24-oct-97;15/2/2021;2177;6.5
Madame Bovary;Drama, Romance;English, French, Latin, German;Movie;France;> 2 hrs;Sophie Barthes;Logan Marshall-Green, Ezra Miller, Mia Wasikowska, Rhys Ifans;R;43;52;;2;$ 44,24;12-jun-15;15/2/2021;7708;5.7
LEnfer;Comedy, Drama;Greek;Movie;France;1-2 hour;Babis Makridis;Aris Servetalis, Lefteris Matthaiou, Makis Papadimitriou, Nota Tserniafski;Not Rated;25;;;8;;23-feb-12;15/2/2021;677;5.5
Betty;Comedy;;Movie;France;1-2 hour;;Kabrina Adams, Ajani Russell, Nina Moran, Dede Lovelace;TV-14;;;;1;;1-may-20;15/2/2021;1411;6.7
New Amsterdam;Drama;English;Series;Poland,Italy,Spain,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Netherlands,Thailand,Singapore,Turkey,Romania,Australia,Malaysia,Hong Kong,South Korea,Russia,Canada,Mexico,Argentina,Colombia;< 30 minutes;;Jocko Sims, Ryan Eggold, Janet Montgomery, Freema Agyeman;TV-14;;;3;;;25-sep-18;15/2/2021;17422;8.1
Wheel of Fortune;Family, Game-Show;English;Series;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Israel,Switzerland,United Kingdom,Australia,Malaysia,India,Hong Kong,Japan,Russia,Iceland,Canada,Mexico,Argentina,Brazil,Colombia,United States;< 30 minutes;;Charlie O Donnell, Pat Sajak, Vanna White;TV-G;;;9;75;;19-sep-83;15/2/2021;2667;6.7
The Big Day;Comedy, Romance;Danish;Series;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Canada,Portugal,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Switzerland,United Kingdom,Australia,Malaysia,Brazil,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia;< 30 minutes;Morten Arnfred;Louise Mieritz, Christian Tafdrup, Frank Thiel, Henrik Prip;;;;;;;18-mar-05;15/2/2021;377;5.4
The Photograph;Drama, Romance;English;Movie;South Korea;1-2 hour;Stella Meghie;Chant� Adams, Issa Rae, LaKeith Stanfield, Y lan Noel;PG-13;;62;;4;$20,578,185;14-feb-20;14/2/2021;3853;6
Three Nobunagas;Comedy, Drama, History;Japanese;Movie;Japan;1-2 hour;Kei Watanabe;Yoshinori Okada, Kazuyuki Aijima, Takahiro, Hayato Ichihara;;;;;;;20-sep-19;14/2/2021;22;4.5
Monsoon;Drama, Romance;English, Vietnamese;Movie;Canada,United States;1-2 hour;Hong Khaou;David Tran, Lam Anh Dao, Henry Golding, William Do;Not Rated;;69;1;2;;13-nov-20;14/2/2021;1083;5.9
White House Farm;Biography, Crime, Drama, Mystery, Thriller;English;Series;United Kingdom;< 30 minutes;;Freddie Fox, Mark Addy, Scott Reid, Alexa Davies;TV-MA;;;1;1;;24-sep-20;13/2/2021;5167;7.4
Follow Me;Documentary;English;Movie;Netherlands;1-2 hour;Asri Bendacha;;;;;;;;18-nov-18;12/2/2021;229;5.1
Mundina Nildana;Comedy, Drama, Romance;Kannada;Movie;Canada,Mexico,South Africa,Turkey,Thailand,Singapore,Argentina,Australia,Israel,Brazil,India,Malaysia,Hong Kong,Colombia,Japan,United States,Russia;1-2 hour;Vinay Bharadwaj;Ajay Raj, Ananya Kashyap, Praveen Tej, Radhika Narayan;;;;;;;22-nov-19;12/2/2021;284;6.4
Capitani;Crime, Drama, Mystery, Thriller;Luxembourgish;Series;Lithuania,Poland,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Canada,Slovakia,Mexico,Sweden,Netherlands,South Africa,Germany,Turkey,Thailand,Romania,Singapore,Argentina,Australia,Israel,Brazil,Switzerland,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,South Korea,United States,Russia,France;< 30 minutes;;Luc Schiltz, Joe Dennenwald, Sophie Mousel, Claude De Demo;TV-MA;;;;;;11-feb-21;12/2/2021;366;7.1
Romang;Drama, Romance;English;Movie;South Korea;1-2 hour;Chang-Geun Lee;Bae Hae-Sun, Yeong-suk Jeong, Jo Han-Chul, Seon-kyu Jin;;;;;;;03 Apr 2019;11/2/2021;117;7.2
SUMMER 03;Drama, Romance;French, English, Spanish, German;Movie;South Korea;1-2 hour;ric Rohmer;Sylvie Richez, Marie Rivi�re, Amira Chemakhi, Mara Luisa Garca;R;93;;5;;$ 43,84;29 Aug 1986;11/2/2021;7183;7.7
Weathering with You;Animation, Drama, Fantasy, Romance;Japanese;Movie;South Korea;1-2 hour;Makoto Shinkai;Kotaro Daigo, Sei Hiraizumi, Nana Mori, Shun Oguri;PG-13;;72;6;16;$7,798,743;17 Jan 2020;11/2/2021;23305;7.5
Night of the Undead;Comedy, Sci-Fi, Thriller;Korean;Movie;South Korea;1-2 hour;Jeong-won Shin;Yeong-hie Seo, Dong-kun Yang, Seong-oh Kim, Lee Jung-hyun;;;;;;;29-sep-20;11/2/2021;62;5.3
Monster Hunt 2;Adventure, Comedy, Fantasy, Sci-Fi;Mandarin;Movie;Singapore;1-2 hour;Raman Hui;Tony Chiu-Wai Leung, Yuchun Li, Boran Jing, Baihe Bai;Not Rated;;63;1;9;$ 706,15;16-feb-18;11/2/2021;1399;5.4
Homecoming;Drama, Mystery, Thriller;English;Movie;Singapore,Malaysia;1-2 hour;;Hong Chau, Alex Karpovsky, Stephan James, Bobby Cannavale;TV-MA;;;2;29;;2-nov-18;11/2/2021;21076;7.5
Forgotten Rules;Comedy, Crime;Indonesian;Movie;Thailand,Singapore,Malaysia;1-2 hour;H. Tjut Djalil;Eva Arnaz, Illa Doth, Rini S. Bono, Diding Boneng;;;;;;;;11/2/2021;26;7.1
Lassie Come Home;Adventure, Drama, Family;English;Movie;Netherlands;1-2 hour;Fred M. Wilcox;May Whitty, Edmund Gwenn, Donald Crisp, Roddy McDowall;Passed;94;78;3;2;;01 Dec 1943;11/2/2021;4973;7.1
The School Trip;Comedy, Romance;German;Movie;Slovakia;1-2 hour;Lars Montag;Josefine Preu, Tom Lass, Kostja Ullmann, Marlon Kittel;;;;;1;;28-oct-04;11/2/2021;288;5.5
News of the World;Action, Adventure, Drama, Western;English, German;Movie;Lithuania,Poland,France,Iceland,Italy,Spain,Czech Republic,Belgium,Portugal,Mexico,Hungary,South Africa,Slovakia,Sweden,Thailand,Netherlands,Germany,Singapore,Turkey,Romania,Argentina,Israel,Australia,Switzerland,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,South Korea,Russia,Greece,Japan;1-2 hour;Paul Greengrass;Helena Zengel, Tom Astor, Tom Hanks, Travis Johnson;PG-13;;73;2;46;$11,433,050;25 Dec 2020;11/2/2021;30581;6.9
O Filho Eterno;Drama, Family;Portuguese;Movie;Brazil;1-2 hour;Paulo Machline;D�bora Falabella, Marcos Veras, Augusto Madeira, Lourinelson Vladmir;;;;;1;;01 Dec 2016;10/2/2021;140;6.8
Paradoks;Crime;Polish;Series;Poland;< 30 minutes;;Boguslaw Linda, Cezary Lukaszewicz, Andrzej Zielinski, Anna Grycewicz;;;;;;;6-sep-12;10/2/2021;95;7
Oh Happy Day;Comedy, Drama, Music, Romance;Danish, English;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Portugal,Germany,Switzerland,United Kingdom,Iceland,Czech Republic;1-2 hour;Hella Joof;Lotte Andersen, Kurt Ravn, Ditte Grb�l, Malik Yoba;Not Rated;;;;8;;5-nov-04;10/2/2021;714;5.6
Kenny Begins;Action, Comedy, Sci-Fi;Swedish;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic;1-2 hour;Mats Lindberg, Carl strand;Carla Abrahamsen, Jan Mybrand, Johan Rheborg, Bill Skarsgrd;;28;;;;;25-mar-09;10/2/2021;1693;5.8
Cold Lunch;Drama;Norwegian;Movie;Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland;1-2 hour;Eva S�rhaug;Ane Dahl Torp, Knut Huseb�, Bj�rn Floberg, Birgitte Victoria Svendsen;;24;;4;5;;1-feb-08;10/2/2021;831;5
Spaceship Earth;Documentary;English;Movie;Colombia,Mexico,Argentina,Brazil;1-2 hour;Matt Wolf;Shelley Taylor Morgan, Kathelin Gray, Marie Harding, William Dempster;;;73;;6;;8-may-20;9/2/2021;1301;6.4
Mr. & Mrs. Incredible;Action, Comedy, Crime, Thriller;English, Spanish;Movie;Singapore,Malaysia;1-2 hour;Doug Liman;Adam Brody, Brad Pitt, Angelina Jolie, Vince Vaughn;PG-13;60;55;9;18;$186,336,279;10-jun-05;8/2/2021;451482;6.5
Golden Chickensss;Comedy, Drama;Cantonese, Mandarin;Movie;Singapore,Malaysia;1-2 hour;Matt Chow;Louis Koo, Michelle Chen, Sandra Kwan Yue Ng, Nick Cheung;;29;;3;5;;30 Jan 2014;8/2/2021;404;5.6
Golden Chicken;Drama, Comedy;Cantonese;Movie;Singapore,Malaysia;1-2 hour;Leung Chun  Samson  Chiu;Hin-Wai Au, Eric Tsang, Eason Chan, Sandra Kwan Yue Ng;;69;;3;9;;26 Dec 2002;8/2/2021;836;7.1
American Dreams in China;Drama;Mandarin;Movie;Singapore,Malaysia;1-2 hour;Peter Ho-Sun Chan;Chao Deng, Dawei Tong, Xiaoming Huang, Juan Du;;77;;31;32;;17-may-13;8/2/2021;2121;7
12 Golden Ducks;Comedy;Cantonese, Mandarin, English, Thai;Movie;Singapore,Malaysia;1-2 hour;Matt Chow;Wilfred Lau, Louis Koo, Sandra Kwan Yue Ng, Anthony Chau-Sang Wong;;29;;;;;19-feb-15;8/2/2021;266;4.7
Dont be the First one;Action, Crime, Thriller;Hindi;Series;South Korea;< 30 minutes;Farhan Akhtar;Priyanka Chopra, Shah Rukh Khan, Isha Koppikar, Arjun Rampal;Not Rated;78;;1;11;$2,223,961;20-oct-06;7/2/2021;34427;7.2
Space Sweepers;Action, Adventure, Drama, Fantasy, Sci-Fi;Korean, English;Movie;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Mexico,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Australia,Germany,Singapore,Turkey,Brazil,India,Argentina,Hong Kong,Israel,Japan,Switzerland,United Kingdom,South Korea,United States,Malaysia,Russia,Colombia,Romania;> 2 hrs;Sung-hee Jo;Hae-Jin Yoo, Song Joong-Ki, Kim Tae-ri, Seon-kyu Jin;TV-MA;;;;;;5-feb-21;6/2/2021;6602;6.6
Strip Down, Rise Up;Documentary;English;Movie;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Mexico,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Australia,Germany,Singapore,Turkey,Brazil,India,Argentina,Hong Kong,Israel,Japan,Switzerland,United Kingdom,South Korea,United States,Malaysia,Russia,Colombia,Romania;1-2 hour;Mich�le Ohayon;Amy Bond, Genellyn Driver, Jenyne Butterfly, Megan Gamble;R;;;;;;5-feb-21;6/2/2021;252;5.1
Malcolm & Marie;Comedy, Crime, Sci-Fi;English;Movie;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Mexico,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Australia,Germany,Singapore,Turkey,Brazil,India,Argentina,Hong Kong,Israel,Japan,Switzerland,United Kingdom,South Korea,United States,Malaysia,Russia,Colombia,Romania;1-2 hour;Nadia Tass;John Hargreaves, Chris Haywood, Lindy Davies, Colin Friels;PG-13;84;;9;;$ 544,47;5-nov-86;6/2/2021;1936;7.2
Little Big Women;Drama;Mandarin, Min Nan;Movie;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Mexico,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Australia,Germany,Singapore,Turkey,Brazil,India,Argentina,Hong Kong,Israel,Japan,Switzerland,United Kingdom,South Korea,United States,Malaysia,Russia,Colombia,Romania;> 2 hrs;Joseph Chen-Chieh Hsu;Ying-Hsuan Hsieh, Shu-Fang Chen, Ke-Fang Sun, Vivian Hsu;;;;1;5;;6-nov-20;6/2/2021;901;7.3
Invisible City;Documentary;English;Series;Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Mexico,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Australia,Germany,Singapore,Turkey,Brazil,India,Argentina,Hong Kong,Israel,Japan,Switzerland,United Kingdom,South Korea,United States,Malaysia,Russia,Colombia,Romania;< 30 minutes;Hubert Davis;;;;;;;;2-may-09;6/2/2021;18;7.3
Yakuza Ladies: The Final Battle;;Japanese;Movie;Japan;1-2 hour;Ksaku Yamashita;Shima Iwashita, Show Aikawa, Rino Katase, Yuriko Ishida;;;;;1;;2-jun-90;5/2/2021;15;6.3
Tim Maia;Biography, Drama, Music, Romance;Portuguese, English;Movie;Brazil;> 2 hrs;Mauro Lima;Alinne Moraes, Robson Nunes, Cau� Reymond, Babu Santana;;;;6;14;;30-oct-14;5/2/2021;1796;7.2
